SITENO,Dam_name,NID_ID,Owner_name,Owner_type,Purpose,Latitude,Longitude,State,County,City,River_name,State_reg,Dam_type,NID_Height_ft,NID_height_cat,Dam_length_ft,Volume_cubic_yards,Year_completed,Year_completed_category,NID_storage_acre_ft,Max_storage_acre_ft,Normal_storage_acre_ft,Surface_area_acres,Drainage_area_sq_miles,Max_discharge_cubic_ft_sec,Spillway_type,Spillway_width_ft,Hazard_potential_class,Condition_assessment
01013500,Daigle Pond,ME00236,Glenn Daigle,Private,Hydroelectric,47.188933,-68.463638,Maine,Aroostook,New Canada,Daigle Brook,MEMA,Concrete;Stone;Earth;Gravity,15,Less than 25 feet,60,NULL,1874,Before 1900,250,250,215,36,0,NULL,NULL,8,Low,Not Rated
01022500,Lower Jr Grant,ME96008,Jasper Wyman & Son,Private,Recreation,44.703655,-68.009063,Maine,Washington,NULL,0,MEMA,Earth,26,25-50 feet,190,NULL,NULL,Undetermined,21,0,21,5,0,NULL,NULL,11,Low,Not Rated
01022500,Popple Hill Pond,ME96017,Jasper Wyman & Son,Private,Recreation,44.7025,-67.98108,Maine,Washington,NULL,0,MEMA,Earth,9,Less than 25 feet,385,NULL,NULL,Undetermined,150,150,48,16,0,NULL,NULL,20,Low,Not Rated
01022500,Bog Brook,ME00707,IFW/State of Maine,State,Recreation,44.789094,-68.005071,Maine,Washington,NULL,Bog Brook,MEMA,Timber Crib;Other;Earth;Gravity,10,Less than 25 feet,65,NULL,1900,1900-1909,825,825,495,600,0,NULL,NULL,45,Low,Not Rated
01022500,Cherryfield,ME00061,Cherryfield,Local Government,Flood Risk Reduction,44.608176,-67.938456,Maine,Washington,NULL,Narraguagus,MEMA,Timber Crib;Rockfill;Earth,25,25-50 feet,500,NULL,1965,1960-1969,59940,59940,9720,900,232,NULL,NULL,135,High,Fair
01030500,Rockabema Pond,ME00179,Donna Roggenthien,Private,Recreation,46.18,-68.36944444,Maine,Aroostook,NULL,Rockabema Pond,MEMA,Masonry;Stone,9,Less than 25 feet,0,NULL,1880,Before 1900,2930,2930,2130,329,NULL,NULL,NULL,7,Low,Poor
01030500,Danforth,ME00178,Baskahegan Dam Co.,Private,Water Supply,45.659076,-67.868869,Maine,Washington,Danforth,Baskehegan,MEMA,Concrete,16,Less than 25 feet,160,NULL,1845,Before 1900,93952,93952,22912,1645,178,NULL,NULL,85,Low,Not Rated
01031500,Gordon's Pond,ME97001,Gordon E. Davis,Private,Fish and Wildlife Pond,45.159346,-69.41086,Maine,Piscataquis,Guilford,Davis Pond,MEMA,Gravity,40,25-50 feet,300,NULL,1965,1960-1969,36,0,36,6,1,NULL,NULL,NULL,Significant,Not Rated
01031500,Pingree Pond,ME00169,Martin Brown,Private,Hydroelectric,45.1116667,-69.4483333,Maine,Piscataquis,NULL,Pingree Stream,MEMA,Concrete;Earth;Gravity,16,Less than 25 feet,105,NULL,1900,1900-1909,117,117,90,26,0,NULL,NULL,20,Low,Not Rated
01031500,Guilford,ME00158,"True Textiles, Inc",Private,Other,45.168386,-69.385165,Maine,Piscataquis,NULL,Piscataquis River,MEMA,Concrete,12,Less than 25 feet,169,NULL,1963,1960-1969,165,165,120,2,295,NULL,NULL,6,Low,Not Rated
01031500,Shirley Pond,ME00171,Shirley,Local Government,Hydroelectric,45.365961999999996,-69.620362,Maine,Piscataquis,Shirley,Shirley Pond,MEMA,Concrete,13,Less than 25 feet,65,NULL,1959,1950-1959,207,207,156,60,0,NULL,NULL,NULL,Low,Not Rated
01031500,Manhanock Pond,ME00407,Sangerville,Local Government,Recreation,45.1575,-69.35555556,Maine,Piscataquis,Sangerville,Carlton Stream,MEMA,Concrete;Gravity,10,Less than 25 feet,119,NULL,1878,Before 1900,2535,2535,1365,420,22,NULL,NULL,110,Low,Not Rated
01031500,Kingsbury,ME00170,Kingsbury Plantation,Local Government,Other,45.117218,-69.647071,Maine,Piscataquis,NULL,Kingsbury Stream,MEMA,Earth;Concrete;Stone;Gravity,13,Less than 25 feet,210,NULL,1958,1950-1959,3584,3584,2688,390,20,NULL,NULL,12,Low,Fair
01047000,Pennell Pond,ME00560,Emil Winter,Private,Other,44.932424999999995,-70.108138,Maine,Somerset,NULL,Bloodsucker Brook,MEMA,Stone;Other,14,Less than 25 feet,115,NULL,1961,1960-1969,65,65,56,15,0,NULL,NULL,8,Low,Not Rated
01047000,Kingfield,ME00319,Kingfield,Local Government,Hydroelectric,44.96,-70.15334,Maine,Franklin,NULL,Carrabassett,MEMA,Concrete;Rockfill,14,Less than 25 feet,259,NULL,1811,Before 1900,78,78,60,108,164,NULL,NULL,NULL,Low,Not Rated
01047000,Mill Pond,ME00125,Smith Mfg. Co.,Private,Hydroelectric,44.804119,-70.121972,Maine,Franklin,NULL,Lemon,MEMA,Concrete;Earth;Gravity,8,Less than 25 feet,61,NULL,1860,Before 1900,108,108,62,85,8,NULL,NULL,15,Low,Not Rated
01047000,Dirigo Dowel,ME00318,JR Fabrication,Private,Other,44.8865619,-70.0945248,Maine,Somerset,NULL,Lemon Stream,MEMA,NULL,8,Less than 25 feet,50,NULL,1890,Before 1900,243,243,102,37,0,NULL,NULL,30,Low,Not Rated
01047000,Gold Brook,ME00651,NULL,Private,Other,45.122268,-70.243812,Maine,Somerset,NULL,GOLD BROOK,MEMA,Gravity,10,Less than 25 feet,30,NULL,1949,1940-1949,512,512,32,0,0,NULL,NULL,NULL,Low,Not Rated
01047000,Stump,ME00559,IFW/State of Maine,State,Water Supply,44.82298,-70.111517,Maine,Franklin,NULL,Lemon,MEMA,Concrete;Timber Crib;Earth,10,Less than 25 feet,260,NULL,1948,1940-1949,600,600,500,35,15,NULL,NULL,20,Low,Not Rated
01047000,Gilman Stream,ME00320,Gilman Stream Hydro,Private,Hydroelectric,44.9241,-70.0245,Maine,Somerset,New Portland,Gilman Stream,NULL,Other;Concrete,17,Less than 25 feet,228,NULL,1911,1910-1919,1600,1600,1600,790,96,NULL,Uncontrolled,102,Low,Poor
01047000,Porter Lake,ME00126,David Horn,Private,Recreation,44.8042355,-70.1456897,Maine,Franklin,New Vineyard,Lemon,MEMA,Concrete;Earth,8,Less than 25 feet,145,NULL,1940,1940-1949,2203,2203,1475,527,5.9,NULL,NULL,4,Low,Poor
01048000,Mosher,ME10001,John Prentiss,Private,Recreation,44.745455,-70.1108,Maine,Franklin,NULL,0,MEMA,Earth;Stone;Rockfill,10,Less than 25 feet,300,NULL,1900,1900-1909,0,0,0,0,0,NULL,NULL,NULL,Significant,Poor
01048000,Walton Mill,ME00123,Farmington,Local Government,Fish and Wildlife Pond,44.660241,-70.165837,Maine,Franklin,Farmington,Temple Stream,MEMA,Concrete;Stone;Rockfill,20,Less than 25 feet,150,NULL,1880,Before 1900,195,195,150,25,0,NULL,NULL,NULL,Low,Not Rated
01048000,Staples Pond,ME00564,Robert L. Bull (deseased 2008),Private,Other,44.717006999999995,-70.2368277,Maine,Franklin,NULL,Staples Pond/Santa Claus Lake,MEMA,Gravity,10,Less than 25 feet,100,NULL,1962,1960-1969,300,300,200,0,0,NULL,NULL,NULL,Low,Not Rated
01048000,Chesterville Marsh,ME00122,IFW/State of Maine,State,Recreation,44.551044999999995,-70.086835,Maine,Franklin,NULL,Little Norridgewock Stream,MEMA,Concrete;Other;Gravity,19,Less than 25 feet,87,NULL,1900,1900-1909,330,330,240,266,25,NULL,NULL,38,Low,Not Rated
01048000,Egypt Pond,ME96129,Stewart Myers,Private,Other,44.51944444444444,-70.05527778,Maine,Franklin,Chesterville,Egypt Pond,MEMA,Earth,7,Less than 25 feet,75,NULL,NULL,Undetermined,1350,1350,1350,70,0.72,NULL,NULL,NULL,Low,Not Rated
01048000,Clearwater Pond,ME96128,Industry,Local Government,Flood Risk Reduction,44.716018999999996,-70.081806,Maine,Franklin,NULL,Muddy Brook,MEMA,Concrete;Timber Crib;Earth,10,Less than 25 feet,116,NULL,NULL,Undetermined,7510,7510,4506,751,7.2,NULL,NULL,6,Significant,Poor
01048000,Wilson Pond,ME00121,Wilton,Local Government,Recreation,44.585862,-70.233123,Maine,Franklin,Wilton,Wilson Pond,MEMA,Rockfill;Earth,24,Less than 25 feet,78,NULL,1845,Before 1900,13610,13610,11010,594,27,NULL,NULL,55,High,Fair
01052500,Shehan Pond Dam,NH03560,NH FISH AND GAME DEPARTMENT,State,Fish and Wildlife Pond,45.015,-71.1975,New Hampshire,Coos,CLARKSVILLE,ROBY BROOK,NH DES,Earth,25,25-50 feet,330,NULL,1960,1960-1969,1000,1000,500,50,4.2,NULL,NULL,NULL,Low,Poor
01055000,Haley Pond,ME00422,Rangeley,Local Government,Flood Risk Reduction,44.8042355,-70.641296,Maine,Franklin,Rangeley,Haley Pond Outlet,MEMA,Rockfill;Concrete,10,Less than 25 feet,33,NULL,1900,1900-1909,540,540,420,170,10,NULL,NULL,10,Significant,Fair
01055500,Pleasant Pond,ME00365,Turner,Local Government,Recreation,44.31,-70.23166667,Maine,Androscoggin,NULL,Lively Brook,MEMA,Concrete;Stone;Gravity,8,Less than 25 feet,30,NULL,1935,1930-1939,810,810,540,189,0,NULL,NULL,4,Low,Not Rated
01055500,Nezinscot River,ME00020,Turner,Local Government,Recreation,44.256389999999996,-70.25584,Maine,Androscoggin,NULL,Nezinscot,MEMA,Stone;Concrete;Masonry,21,Less than 25 feet,190,NULL,1900,1900-1909,895,895,650,520,147,NULL,NULL,80,Significant,Poor
01055500,Martin Stream,ME00437,Livermore,Local Government,Recreation,44.384938,-70.24794,Maine,Androscoggin,NULL,Ford Brook,MEMA,Concrete;Gravity,8,Less than 25 feet,70,NULL,1890,Before 1900,1000,1000,700,165,0,NULL,NULL,30,Low,Not Rated
01055500,North Pond,ME00235,Buckfield Village Corp. (Water District),Public Utility,Water Supply,44.32083333333334,-70.39472222,Maine,Oxford,Buckfield,North Pond,MEMA,Concrete,17,Less than 25 feet,115,NULL,1905,1900-1909,1570,1570,840,164,2.4,NULL,NULL,28,Significant,Poor
01055500,Bear Pond,ME00313,Turner,Local Government,Flood Risk Reduction,44.343801,-70.26472,Maine,Androscoggin,NULL,Martin Stream,MEMA,Concrete,16,Less than 25 feet,105,NULL,1820,Before 1900,1822,1822,1212,433,7.28,NULL,NULL,NULL,Low,Not Rated
01057000,Biscoe Falls,ME96105,John Crouch Jr. & Sons,Private,Hydroelectric,44.285000000000004,-70.5371,Maine,Oxford,South Paris,Little Androscoggin River,NULL,Masonry;Concrete;Gravity,15,Less than 25 feet,115,NULL,1986,1980-1989,126,126,126,21,75.8,530,Uncontrolled,65,Low,Satisfactory
01057000,Hicks Pond,ME00312,Greenwood,Local Government,Hydroelectric,44.318580999999995,-70.651049,Maine,Oxford,NULL,Little Androscoggin,MEMA,Concrete;Other;Rockfill,13,Less than 25 feet,200,NULL,1944,1940-1949,538,538,376,93,11,NULL,NULL,30,Low,Not Rated
01057000,Twitchell Pond,ME00297,Patrick Hack,Private,Water Supply,44.349526,-70.683311,Maine,Oxford,NULL,Twitchell Brook,MEMA,Concrete;Stone;Rockfill;Earth;Gravity,7,Less than 25 feet,130,NULL,1860,Before 1900,702,702,468,179,2.4,NULL,NULL,6,Low,Not Rated
01060000,Jordan Mill Privilege,ME00527,John Werner,Private,"Fire Protection, Stock, Or Small Fish Pond",43.993086999999996,-70.299261,Maine,Cumberland,NULL,Royal River,MEMA,Concrete;Timber Crib;Stone;Earth;Gravity,12,Less than 25 feet,22,NULL,1770,Before 1900,150,150,106,25,13,NULL,NULL,12,Low,Fair
01060000,Run-A-Round Pond,ME00363,Maine Bureau of Parks and Lands,State,Recreation,43.950503999999995,-70.169249,Maine,Androscoggin,Durham,Chandler River,MEMA,Stone;Rockfill,12,Less than 25 feet,50,NULL,1900,1900-1909,400,400,364,91,NULL,NULL,NULL,50,Low,Not Rated
01060000,Shaker Bog,ME15019,The Shaker Society,Private,Other,43.9920436,-70.3671454,Maine,Androscoggin,Poland,NULL,MEMA,Earth,8,Less than 25 feet,200,NULL,1816,Before 1900,811,811,653,178,NULL,NULL,NULL,NULL,Low,Not Rated
01064500,Conway Treatment Lagoon Dam,NH01038,CONWAY VILLAGE FIRE DISTRICT,Local Government,Other,43.9769,-71.1063,New Hampshire,Carroll,CONWAY,NA,NH DES,Earth,6.5,Less than 25 feet,1094,NULL,1985,1980-1989,9.5,9.5,7,0.8,0,0,NULL,NULL,Significant,Satisfactory
01064500,Goodrich Falls Dam,NH00580,FRANKLIN FALLS HYDRO CORP,Private,Hydroelectric,44.1261,-71.1905,New Hampshire,Carroll,BARTLETT,ELLIS RIVER,NH DES,Concrete,25,25-50 feet,150,NULL,1935,1930-1939,25,25,25,3,53,NULL,NULL,NULL,Low,Not Rated
01064500,Pea Porridge Pond Middle Little Dam,NH00768,VILLAGE DISTRICT OF EIDELWEISS,Local Government,Recreation,43.935500000000005,-71.1377,New Hampshire,Carroll,MADISON,PEA PORRIDGE POND,NH DES,Earth,17,Less than 25 feet,175,NULL,1966,1960-1969,406,406,210,46,2.74,895,NULL,NULL,Significant,Fair
01064500,Pequawket Pond Dam,NH00322,NH DES WATER DIVISION,State,Recreation,43.9786,-71.1213,New Hampshire,Carroll,CONWAY,TR SWIFT RIVER,NH DES,Earth,15,Less than 25 feet,43,NULL,NULL,Undetermined,1100,1100,700,143,27,4600,NULL,NULL,Low,Fair
01076500,Pemigewasset River Levee,NH03710,TOWN OF LINCOLN,Local Government,Flood Risk Reduction,44.046865,-71.662067,New Hampshire,Grafton,LINCOLN,EAST BRANCH PEMIGEWASSET RIVER,NH DES,Earth,15,Less than 25 feet,1882,NULL,1960,1960-1969,0,0,0,0,114.96000000000001,42000,NULL,NULL,High,Satisfactory
01076500,Locke 1 Dam,NH00416,WATERVILLE ESTATES VILLAGE DISTRICT,Local Government,Recreation,43.868192,-71.604661,New Hampshire,Grafton,CAMPTON,TR CHICKENBORO BROOK,NH DES,Earth,27,25-50 feet,250,NULL,1970,1970-1979,15.9,15.9,5.8,1,0.22,363,NULL,NULL,Low,Poor
01076500,Corcoran Pond Dam,NH00901,TOWN OF WATERVILLE VALLEY,Local Government,Recreation,43.950182999999996,-71.50443,New Hampshire,Grafton,WATERVILLE VALLEY,SNOWS BROOK,NH DES,Earth,17,Less than 25 feet,253,NULL,1976,1970-1979,33.5,33.5,16,5.100000000000001,2.9,3057,NULL,NULL,High,Satisfactory
01076500,Waterville Valley Lagoons Dam,NH03556,TOWN OF WATERVILLE VALLEY,Local Government,Other,43.9452,-71.5102,New Hampshire,Grafton,WATERVILLE VALLEY,NA,NH DES,Earth,19,Less than 25 feet,1200,NULL,1972,1970-1979,36,36,26,3.4,0,0,NULL,NULL,Significant,Satisfactory
01076500,Loon Pond Dam,NH01070,TOWN OF LINCOLN,Local Government,Recreation,44.036100000000005,-71.6355,New Hampshire,Grafton,LINCOLN,LOON POND BROOK,NH DES,Concrete,7,Less than 25 feet,92,NULL,1970,1970-1979,57,57,38,19,0.36,274,NULL,NULL,Low,Satisfactory
01076500,Weeks Crossing Pond Dam,NH00899,NH FISH AND GAME DEPARTMENT,State,Recreation,43.958600000000004,-71.9113,New Hampshire,Grafton,WARREN,BLACK BROOK,NH DES,Earth,14,Less than 25 feet,80,NULL,NULL,Undetermined,78,78,24,8,1.97,1275,NULL,NULL,Significant,Satisfactory
01076500,Locke 2 Dam,NH00593,WATERVILLE ESTATES VILLAGE DISTRICT,Local Government,Recreation,43.869197,-71.601921,New Hampshire,Grafton,CAMPTON,TR CHICKENBORO BROOK,NH DES,Earth,60,51-100 feet,405,NULL,1969,1960-1969,92,92,65.9,3.8,0.43,551,NULL,NULL,Low,Satisfactory
01076500,Baker River Site 11 Dam,NH00478,NH DES WATER DIVISION,State,Flood Risk Reduction,43.8652,-71.9011,New Hampshire,Grafton,WENTWORTH,TR BAKER RIVER,NH DES,Earth,24,Less than 25 feet,681,NULL,1971,1970-1979,125,125,8,2.8,0.62,607,NULL,NULL,High,Poor
01076500,Lincoln Sewage Lagoon Dam,NH00590,TOWN OF LINCOLN,Local Government,Other,44.0372,-71.6741,New Hampshire,Grafton,LINCOLN,NA,NH DES,Earth,19,Less than 25 feet,2360,NULL,1975,1970-1979,126,126,40,10,0,0,NULL,NULL,Significant,Satisfactory
01076500,Mirror Lake Dam,NH00317,NH DES WATER DIVISION,State,Recreation,43.9405,-71.6911,New Hampshire,Grafton,WOODSTOCK,TR HUBBARD BROOK,NH DES,Earth,11.5,Less than 25 feet,290,NULL,1836,Before 1900,187,187,136,38,0.34,215,NULL,NULL,Low,Satisfactory
01076500,Baker River Site 11a Dam,NH00247,NH DES WATER DIVISION,State,Flood Risk Reduction,43.848800000000004,-71.8902,New Hampshire,Grafton,WENTWORTH,TR BAKER RIVER,NH DES,Earth,24,Less than 25 feet,640,NULL,1971,1970-1979,355,355,9.3,4,0.87,2029,NULL,NULL,High,Satisfactory
01076500,Campton Pond Hydro Dam,NH00130,WHITE MOUNTAIN NATIONAL FOREST,Federal,Hydroelectric,43.8619,-71.6325,New Hampshire,Grafton,CAMPTON,MAD RIVER,NH DES,Concrete,39,25-50 feet,465,NULL,1890,Before 1900,650,650,350,36,58,NULL,NULL,NULL,High,Fair
01076500,Campton Bog Pond Dam,NH00326,NH FISH AND GAME DEPARTMENT,State,Recreation,43.8111,-71.7036,New Hampshire,Grafton,CAMPTON,BOG BROOK,NH DES,Earth,9.5,Less than 25 feet,220,NULL,1836,Before 1900,781,781,43,20,7.92,NULL,NULL,NULL,Low,Fair
01076500,Baker River Site 5 Dam,NH00245,NH DES WATER DIVISION,State,Flood Risk Reduction,43.884100000000004,-71.9127,New Hampshire,Grafton,WENTWORTH,SWAIN BROOK,NH DES,Earth,53,51-100 feet,807,NULL,1967,1960-1969,950,950,39,6.3,4.25,4290,NULL,NULL,High,Poor
01076500,Baker River Site 5 Dike,NH03387,NH DES WATER DIVISION,State,Flood Risk Reduction,43.8933,-71.9108,New Hampshire,Grafton,WENTWORTH,SWAIN BROOK,NH DES,Earth,20,Less than 25 feet,600,NULL,1969,1960-1969,950,950,39,7,4.25,NULL,NULL,NULL,Low,Satisfactory
01076500,Baker River Site 6a Dam,NH00477,NH DES WATER DIVISION,State,Flood Risk Reduction,43.8611,-71.933,New Hampshire,Grafton,WENTWORTH,TURAL BROOK,NH DES,Earth,68,51-100 feet,730,NULL,1975,1970-1979,1209,1209,326,28,3.5,1900,NULL,NULL,High,Poor
01076500,Stinson Lake Dam,NH00399,NH DES WATER DIVISION,State,Recreation,43.860800000000005,-71.8072,New Hampshire,Grafton,RUMNEY,STINSON BROOK,NH DES,Earth,7.75,Less than 25 feet,158,NULL,1780,Before 1900,1890,1890,459,344,7.83,3023,NULL,NULL,Low,Satisfactory
01076500,Baker River Site 2 Dam,NH00231,NH DES WATER DIVISION,State,Flood Risk Reduction,43.9397,-71.8888,New Hampshire,Grafton,WARREN,BERRY BROOK,NH DES,Earth,68,51-100 feet,805,NULL,1965,1960-1969,2300,2300,500,39,6,439,NULL,NULL,High,Fair
01076500,Baker River Site 6 Dam,NH00243,NH DES WATER DIVISION,State,Flood Risk Reduction,43.8866,-71.9586,New Hampshire,Grafton,WENTWORTH,POND BROOK,NH DES,Earth,14,Less than 25 feet,203,NULL,1969,1960-1969,2991,2991,210,121,16.7,NULL,NULL,NULL,Significant,Satisfactory
01076500,Baker River Site 8 Dam,NH00178,NH DES WATER DIVISION,State,Flood Risk Reduction,43.775,-71.9158,New Hampshire,Grafton,DORCHESTER,SOUTH BRANCH BAKER RIVER,NH DES,Earth,63,51-100 feet,1462,NULL,1967,1960-1969,4750,4750,143,30.400000000000002,15.58,17315,NULL,NULL,High,Satisfactory
01078000,Ragged Mountain Snow Pond Dam,NH00952,RAGGED MOUNTAIN RESORT,Private,Fish and Wildlife Pond,43.485527,-71.839534,New Hampshire,Merrimack,DANBURY,TR DANBURY BOG MARSH,NH DES,Earth,49,25-50 feet,250,NULL,1988,1980-1989,17,17,10,2.3,0.23,129,NULL,NULL,Low,Fair
01078000,Kilton Pond Dam,NH00024,NH DES WATER DIVISION,State,Recreation,43.581511,-71.977017,New Hampshire,Grafton,GRAFTON,SMITH RIVER,NH DES,Stone,12,Less than 25 feet,180,NULL,1930,1930-1939,407,407,196,68,7.25,2709,NULL,NULL,Low,Fair
01078000,Bog Pond Dam,NH00402,RAGGED MOUNTAIN RESORT,Private,Recreation,43.517101,-71.841494,New Hampshire,Merrimack,DANBURY,BOG BROOK,NH DES,Concrete,17,Less than 25 feet,160,NULL,1870,Before 1900,1000,1000,600,99,7.2,2950,NULL,NULL,Significant,Satisfactory
01121000,Mclaughlin Pond Dam,CT00200,BERMAN,Private,Recreation,41.827850999999995,-72.178028,Connecticut,Tolland,MANSFIELD,MT HOPE RIVER TRIB,DEEP,Masonry,11,Less than 25 feet,180,0,1860,Before 1900,120,120,120,30,1.75,136,NULL,10,Significant,Poor
01121000,Morey Pond Dam,CT00463,CONNECTICUT DEEP,State,Recreation,41.957893,-72.191013,Connecticut,Windham,ASHFORD,MT HOP RIVER,DEEP,Masonry;Earth,19,Less than 25 feet,340,0,1870,Before 1900,396,396,396,44,0.7,412,Uncontrolled,40,Significant,Satisfactory
01121000,Lake Chaffee Dam,CT00466,FERENCE;LAKE CHAFFEE IMPROVEMENT ASSOCIATION;RICHARDS,Private,Recreation,41.939851999999995,-72.19249,Connecticut,Windham,ASHFORD,MOUNTT HOPE RIVER TRIB,DEEP,Earth,2.5,Less than 25 feet,21,0,1880,Before 1900,412,412,412,57.800000000000004,0.5,220,NULL,26,Significant,Fair
01121000,Goss Brook Dam,CT00465,"CONNECTICUT RIVERS COUNCIL, BSA",Private,Recreation,41.878842999999996,-72.150638,Connecticut,Windham,WARRENVILLE,GOSS BROOK,DEEP,Earth,38.5,25-50 feet,650,0,1963,1960-1969,530,530,340,23.900000000000002,1.8,280,Uncontrolled,21,High,Satisfactory
01121000,Ashford Lake Dam,CT00462,"ASHFORD LAKE PROPERTY OWNERS ASSOCIATION, INC.",Private,Recreation,41.895984999999996,-72.127334,Connecticut,Windham,WARRENVILLE,GOSS BROOK,DEEP,Earth,23,Less than 25 feet,450,0,1949,1940-1949,715,715,370,51,0.36,650,NULL,15,Significant,Satisfactory
01121000,Happy Acres Dam,CT00464,THE SALVATION ARMY,Private,Recreation,41.867653999999995,-72.207035,Connecticut,Windham,ASHFORD,LOWRY BROOK,DEEP,Earth,20,Less than 25 feet,230,0,1973,1970-1979,1000,1000,410,90,1.15,230,Controlled,15,Significant,Satisfactory
01123000,Hampton Reservoir Dam,CT01712,CONNECTICUT DEEP,State,Recreation,41.823302999999996,-72.058132,Connecticut,Windham,HAMPTON,LITTLE RIVER TRIB,DEEP,Earth,8,Less than 25 feet,325,0,1944,1940-1949,154,154,154,32.2,0.91,100,NULL,10,Significant,Not Rated
01123000,Pine Acres Lake Dam,CT00669,CONNECTICUT DEEP,State,Recreation,41.776446,-72.077576,Connecticut,Windham,HAMPTON,CEDAR SWAMP BROOK,DEEP,Earth,9,Less than 25 feet,640,0,1880,Before 1900,955,955,605,190,1.69,853,Uncontrolled,8,Significant,Poor
01127000,Killingly Pond Dike,CT00174,CONNECTICUT DEEP,State,Other,41.859044,-71.802692,Connecticut,Windham,NULL,NULL,DEEP,Earth,12,Less than 25 feet,700,0,NULL,Undetermined,0,NULL,0,NULL,NULL,NULL,NULL,0,Significant,Not Rated
01127000,Middle Reservoir Dam,CT50013,WRIGHT INVESTORS' SERVICE HOLDINGS INC.,Private,Other,41.848555,-71.810475,Connecticut,Windham,NULL,WHETSTONE BROOK,DEEP,Earth,6.5,Less than 25 feet,871,0,NULL,Undetermined,0,NULL,0,100,4.61,NULL,NULL,0,Significant,Not Rated
01127000,City Pond Aka Upper Slaters Dam,CT00925,CONNECTICUT DEEP,State,Recreation,41.603733,-71.982737,Connecticut,New London,NULL,PACHAUG RIVER,DEEP,Masonry,0,Undetermined,100,0,NULL,Undetermined,0,NULL,0,4,62.4,NULL,Uncontrolled,100,Significant,Poor
01127000,Wakefield Pond Dam,CT00185,BURDICK;CONNECTICUT DEEP;SUICH,State,Recreation,41.939758999999995,-71.824068,Connecticut,Windham,NULL,NULL,DEEP,Earth,6,Less than 25 feet,250,0,1991,1990-1999,0,NULL,0,NULL,NULL,NULL,NULL,0,Significant,Not Rated
01127000,Johnstone Pond Dam,CT01490,RAYMOND W. & DONNA M. AUGER,Private,Recreation,41.969566,-71.953589,Connecticut,Windham,NULL,MUDDY BROOK,DEEP,Earth,12,Less than 25 feet,200,0,NULL,Undetermined,0,NULL,0,9,1.1,NULL,NULL,8,Significant,Satisfactory
01127000,Beachdale Pond Dam,CT50004,CONNECTICUT DEEP,State,Recreation,41.57879,-71.862196,Connecticut,New London,NULL,PAUCHAUG RIVER,DEEP,NULL,9,Less than 25 feet,200,0,NULL,Undetermined,0,NULL,0,46,28.1,NULL,NULL,41,Significant,Fair
01127000,Bowdish Lower,RI04519,"SCHMIDT, LYNDA J",Private,NULL,41.92377,-71.78228,Rhode Island,Providence,GLOCESTER,MARY BROWN BROOK,DS,NULL,0,Undetermined,NULL,0,NULL,Undetermined,0,NULL,0,NULL,NULL,NULL,NULL,0,High,Poor
01127000,Exeter Energy Storage Basin Dam,CT01734,"EMPIRE TIRE OF EDGEWATER II, LLC;REENERGY STERLING CT LIMITED PARTNERSHIP",Private,Water Supply,41.712761,-71.824364,Connecticut,Windham,NULL,NULL,DEEP,Earth,6.5,Less than 25 feet,150,0,2003,Since 2000,10,10,6,1,0.03,NULL,NULL,30,Significant,Satisfactory
01127000,Health Camp Dam,MA02802,DAVID A. & JILL A. DUPUIS,Private,NULL,42.20842,-71.92976,Massachusetts,Worcester,NULL,NULL,DEPARTMENT OF CONSERVATION AND RECREATION,NULL,14,Less than 25 feet,NULL,0,NULL,Undetermined,14.5,14.5,6.53,NULL,NULL,NULL,Uncontrolled,0,Significant,Unsatisfactory
01127000,Edget's Pond Dam,MA01983,G & B REALTY TRUST,Private,Other,42.06403308,-72.01131592,Massachusetts,Worcester,NULL,LEBANON BROOK,DEPARTMENT OF CONSERVATION AND RECREATION,Earth,14,Less than 25 feet,155,0,NULL,Undetermined,15.8,15.8,10.5,1.5,10,NULL,Uncontrolled,0,Significant,Poor
01127000,Wee Laddie Pond Dam,MA01827,SAINT MARK COPTIC ORTHODOX CHURCH OF BOSTON,Private,Recreation,42.17491053,-71.95670423,Massachusetts,Worcester,NULL,TRIBUTARY TO WEE LADDIE POND,DEPARTMENT OF CONSERVATION AND RECREATION,Earth,6,Less than 25 feet,NULL,0,1974,1970-1979,18.5,18.5,16.9,5,1.72,NULL,Uncontrolled,0,Significant,Satisfactory
01127000,Shawville Pond Dam,MA02381,"TOWN OF WALES, BOARD OF SELECTMEN",Local Government,Recreation,42.073521,-72.216527,Massachusetts,Hampden,NULL,WALES BROOK,DEPARTMENT OF CONSERVATION AND RECREATION,Earth,13,Less than 25 feet,65,0,2003,Since 2000,22,22,10,0.01,2.16,NULL,Uncontrolled,0,Significant,Satisfactory
01127000,Elmville Dam,CT00165,TOWN OF KILLINGLY,Local Government,Recreation,41.832729,-71.872668,Connecticut,Windham,ELMVILLE,WHETSTONE BROOK,DEEP,Earth,7,Less than 25 feet,200,0,1900,1900-1909,26,26,14.6,1.8,13.9,3000,NULL,90,Significant,Fair
01127000,Recreation Pond Dam,MA02021,"WOODS & WATERS, INC.",Private,Recreation,42.08853,-72.08371,Massachusetts,Worcester,NULL,UNNAMED TRIBUTARY OF QUINEBAUG RIVER,DEPARTMENT OF CONSERVATION AND RECREATION,Earth,7.4,Less than 25 feet,130,0,NULL,Undetermined,28.1,28.1,16.2,8.1,0.2,NULL,Controlled,0,Significant,Satisfactory
